Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 16:50:38.850,cd:75:20:e1:ef:ef, 2015-01-01 00:28:58.265, 0.216, 0.973, 0.082, 0, 0, 0, , , , , , , 0.709, 0.483, -15.079, -21.487, -37.007, -50.813, 28.89, 0.73969, 0.65091, -0.16888, -0.02328,
 16:50:38.883,ea:e4:fd:d7:dc:2a, 2015-01-01 00:28:57.385, -0.021, 0.993, -0.078, -1.892, -0.549, -0.366, , , , , , , -0.176, -0.209, 106.199, 9.760, -64.660, 9.733, 29.58, 0.40894, 0.43985, 0.5939, 0.53522,
 16:50:38.941,fe:77:90:13:0e:6b, 2015-01-01 00:28:59.425, 0.115, 0.944, -0.233, 0, 0, 0, , , , , , , -2, 2.071, 159.73, 0.627, -30.907, 21.653, 27.77, 0.06375, 0.17285, 0.76511, 0.61688,
 16:50:38.941,cd:75:20:e1:ef:ef, 2015-01-01 00:28:58.265, 0.22, 0.971, 0.091, 0, 0, 0, , , , , , , 0.72, 0.483, -15.068, -21.487, -37.007, -50.813, 28.89, 0.73941, 0.65134, -0.16858, -0.02295,
 16:50:38.972,ea:e4:fd:d7:dc:2a, 2015-01-01 00:28:57.745, -0.02, 0.996, -0.075, -1.648, -0.122, -0.732, , , , , , , -0.192, -0.176, 106.172, 9.760, -64.660, 9.733, 29.58, 0.40894, 0.43985, 0.5939, 0.53522,
 16:50:39.030,cd:75:20:e1:ef:ef, 2015-01-01 00:28:58.745, 0.221, 0.968, 0.091, 0, 0, 0, , , , , , , 0.725, 0.489, -15.062, -21.487, -37.007, -50.813, 28.89, 0.73941, 0.65134, -0.16858, -0.02295,
 16:50:39.030,fe:77:90:13:0e:6b, 2015-01-01 00:28:59.425, 0.114, 0.951, -0.23, 0, 0, 0, , , , , , , -1.989, 2.065, 159.714, 0.627, -30.907, 21.653, 27.77, 0.06384, 0.17355, 0.76541, 0.6163,
 16:50:39.092,ea:e4:fd:d7:dc:2a, 2015-01-01 00:28:57.745, -0.023, 0.993, -0.082, 0, 0, 0, , , , , , , -0.203, -0.17, 106.37, 9.760, -64.660, 9.733, 29.58, 0.40894, 0.43985, 0.5939, 0.53522,
 16:50:39.120,fe:77:90:13:0e:6b, 2015-01-01 00:28:59.840, 0.116, 0.949, -0.231, 0, 0, 0, , , , , , , -1.983, 2.06, 159.697, 0.627, -30.907, 21.653, 27.77, 0.06384, 0.17355, 0.76541, 0.6163,
 16:50:39.150,cd:75:20:e1:ef:ef, 2015-01-01 00:28:58.745, 0.219, 0.969, 0.093, 0, 0, 0, , , , , , , 0.736, 0.489, -15.057, -21.487, -37.007, -50.813, 28.89, 0.73941, 0.65134, -0.16858, -0.02295,
 16:50:39.152,ea:e4:fd:d7:dc:2a, 2015-01-01 00:28:57.745, -0.02, 0.994, -0.082, 0, 0, 0, , , , , , , -0.17, -0.187, 106.447, 10.260, -64.720, 9.433, 29.58, 0.40894, 0.43985, 0.5939, 0.53522,
 16:50:39.210,fe:77:90:13:0e:6b, 2015-01-01 00:28:59.840, 0.108, 0.943, -0.237, 0, 0, 0, , , , , , , -1.978, 2.071, 159.675, 0.627, -30.907, 21.653, 27.77, 0.06384, 0.17355, 0.76541, 0.6163,
 16:50:39.272,cd:75:20:e1:ef:ef, 2015-01-01 00:28:58.745, 0.217, 0.973, 0.087, 0, 0, 0, , , , , , , 0.742, 0.489, -15.04, -21.487, -37.007, -50.813, 28.89, 0.73941, 0.65134, -0.16858, -0.02295,
 16:50:39.274,ea:e4:fd:d7:dc:2a, 2015-01-01 00:28:57.745, -0.017, 1.003, -0.08, 0, 0, 0, , , , , , , -0.181, -0.203, 106.43, 10.260, -64.720, 9.433, 29.58, 0.40775, 0.43854, 0.59464, 0.53638,
 16:50:39.329,fe:77:90:13:0e:6b, 2015-01-01 00:28:59.840, 0.118, 0.96, -0.226, 0, 0, 0, , , , , , , -2.104, 2.131, 159.719, 0.627, -30.907, 21.653, 27.77, 0.06384, 0.17355, 0.76541, 0.6163,
 16:50:39.361,ea:e4:fd:d7:dc:2a, 2015-01-01 00:28:58.100, -0.018, 0.998, -0.083, 0, 0, 0, , , , , , , -0.198, -0.264, 106.447, 10.260, -64.720, 9.433, 29.58, 0.40775, 0.43854, 0.59464, 0.53638,
 16:50:39.391,cd:75:20:e1:ef:ef, 2015-01-01 00:28:58.745, 0.219, 0.97, 0.091, 0, 0, 0, , , , , , , 0.747, 0.494, -15.035, -21.567, -36.853, -51.373, 28.89, 0.73941, 0.65134, -0.16858, -0.02295,
 16:50:39.419,fe:77:90:13:0e:6b, 2015-01-01 00:28:59.840, 0.125, 0.954, -0.223, 0, 0, 0, , , , , , , -2.379, 1.989, 159.802, 0.880, -30.740, 20.747, 27.77, 0.06384, 0.17355, 0.76541, 0.6163,
 16:50:39.421,cd:75:20:e1:ef:ef, 2015-01-01 00:28:58.745, 0.223, 0.969, 0.089, 0, 0, 0, , , , , , , 0.786, 0.483, -15.046, -21.567, -36.853, -51.373, 28.89, 0.73904, 0.65176, -0.16849, -0.02274,
 16:50:39.481,ea:e4:fd:d7:dc:2a, 2015-01-01 00:28:58.100, -0.019, 0.991, -0.086, 0, 0, 0, , , , , , , -0.137, -0.33, 106.458, 10.260, -64.720, 9.433, 29.58, 0.40775, 0.43854, 0.59464, 0.53638,
 16:50:39.540,cd:75:20:e1:ef:ef, 2015-01-01 00:28:59.220, 0.216, 0.972, 0.08, 0, 0, 0, , , , , , , 0.802, 0.489, -15.035, -21.567, -36.853, -51.373, 28.89, 0.73904, 0.65176, -0.16849, -0.02274,
 16:50:39.573,ea:e4:fd:d7:dc:2a, 2015-01-01 00:28:58.100, -0.015, 0.997, -0.081, 0, 0, 0, , , , , , , -0.077, -0.352, 106.452, 9.940, -65.173, 9.293, 29.58, 0.40775, 0.43854, 0.59464, 0.53638,
 16:50:39.599,fe:77:90:13:0e:6b, 2015-01-01 00:28:59.840, 0.111, 0.95, -0.224, 0, 0, 0, , , , , , , -2.357, 1.983, 159.791, 0.880, -30.740, 20.747, 27.77, 0.06339, 0.17322, 0.76346, 0.61887,
 16:50:39.630,cd:75:20:e1:ef:ef, 2015-01-01 00:28:59.220, 0.226, 0.968, 0.086, 0, 0, 0, , , , , , , 0.862, 0.434, -15.018, -21.567, -36.853, -51.373, 28.89, 0.73904, 0.65176, -0.16849, -0.02274,
 16:50:39.630,fe:77:90:13:0e:6b, 2015-01-01 00:29:00.320, 0.119, 0.941, -0.227, 0, 0, 0, , , , , , , -2.351, 1.978, 159.774, 0.880, -30.740, 20.747, 27.77, 0.06339, 0.17322, 0.76346, 0.61887,
 16:50:39.693,ea:e4:fd:d7:dc:2a, 2015-01-01 00:28:58.460, -0.012, 0.993, -0.08, 0, 0, 0, , , , , , , 0.071, -0.352, 106.441, 9.940, -65.173, 9.293, 29.58, 0.40582, 0.44016, 0.59558, 0.53549,
 16:50:39.749,fe:77:90:13:0e:6b, 2015-01-01 00:29:00.320, 0.118, 0.947, -0.227, 0, 0, 0, , , , , , , -2.346, 1.972, 159.769, 0.880, -30.740, 20.747, 27.77, 0.06339, 0.17322, 0.76346, 0.61887,
 16:50:39.751,cd:75:20:e1:ef:ef, 2015-01-01 00:28:59.220, 0.224, 0.974, 0.08, 0, 0, 0, , , , , , , 0.906, 0.401, -15.018, -21.820, -37.073, -50.687, 28.89, 0.73904, 0.65176, -0.16849, -0.02274,
 16:50:39.782,ea:e4:fd:d7:dc:2a, 2015-01-01 00:28:58.460, -0.013, 0.99, -0.09, 3.662, -0.793, 0.305, , , , , , , 0.269, -0.33, 106.507, 9.940, -65.173, 9.293, 29.58, 0.40582, 0.44016, 0.59558, 0.53549,
 16:50:39.840,cd:75:20:e1:ef:ef, 2015-01-01 00:28:59.220, 0.218, 0.97, 0.088, 0, 0, 0, , , , , , , 0.917, 0.396, -15.013, -21.820, -37.073, -50.687, 28.89, 0.73831, 0.65253, -0.16882, -0.02185,
 16:50:39.870,fe:77:90:13:0e:6b, 2015-01-01 00:29:00.320, 0.113, 0.948, -0.225, 0, 0, 0, , , , , , , -2.346, 1.972, 159.758, 0.880, -30.740, 20.747, 27.77, 0.06339, 0.17322, 0.76346, 0.61887,
 16:50:39.903,ea:e4:fd:d7:dc:2a, 2015-01-01 00:28:58.460, -0.015, 0.989, -0.104, 0.671, -2.747, 0, , , , , , , 0.61, -0.357, 106.32, 9.793, -66.613, 8.127, 29.58, 0.40582, 0.44016, 0.59558, 0.53549,
 16:50:39.960,cd:75:20:e1:ef:ef, 2015-01-01 00:28:59.635, 0.224, 0.971, 0.083, 0, 0, 0, , , , , , , 0.89, 0.428, -14.996, -21.820, -37.073, -50.687, 28.89, 0.73831, 0.65253, -0.16882, -0.02185,
 16:50:39.963,ea:e4:fd:d7:dc:2a, 2015-01-01 00:28:58.460, -0.016, 0.982, -0.107, 1.77, -1.282, 0, , , , , , , 0.862, -0.346, 106.199, 9.793, -66.613, 8.127, 29.58, 0.40369, 0.44479, 0.59866, 0.52979,
 16:50:39.990,fe:77:90:13:0e:6b, 2015-01-01 00:29:00.320, 0.118, 0.956, -0.227, 0, 0, 0, , , , , , , -2.34, 1.961, 159.758, 0.767, -30.473, 20.480, 27.77, 0.06339, 0.17322, 0.76346, 0.61887,
 16:50:40.020,fe:77:90:13:0e:6b, 2015-01-01 00:29:00.320, 0.121, 0.942, -0.225, 0, 0, 0, , , , , , , -2.472, 1.928, 159.84, 0.767, -30.473, 20.480, 27.77, 0.0629, 0.17316, 0.76282, 0.61975,
 16:50:40.022,cd:75:20:e1:ef:ef, 2015-01-01 00:28:59.635, 0.221, 0.97, 0.087, 0, 0, 0, , , , , , , 0.906, 0.445, -14.991, -21.820, -37.073, -50.687, 28.89, 0.73831, 0.65253, -0.16882, -0.02185,
